S.No.,GSTIN,Supplier Name,Export Invoice Number ,Export Date ,Export Value, GSTR 2B , Taxable Value as per GSTR 2B ,Category of Input Supplies,HSN/SAC,CGST Amount,SGST Amount,IGST Amount,Cess, Eligible for ITC ,3B Month
1,24KABPS1536J1ZI,3VS LASER CUTTING,146/23-24,3/26/2024,8760,8760,8760, Inputs ,7215,788.4,788.4,0,, Yes ,Oct-22
2,24DDMPP3594J1ZX,A K Enterprise,48,3/1/2024,26750,26750,26750, Input Services ,998898,2407.5,2407.5,0,, Yes ,Oct-22
3,24DDMPP3594J1ZX,A K Enterprise,50,3/6/2024,2510,2510,2510, Input Services ,998898,150.6,150.6,0,, Yes ,Oct-22
4,08AAHPA1572C1Z9,A.A.METAL INDUSTRIES,AAMI/911/23-24,3/5/2024,1217166,1217166,1217166, Inputs ,74040012,0,0,219089.83,, Yes ,Oct-22
5,24AMXPP4579J1Z3,AARTI INDUSTRIES,662,3/9/2024,9250,9250,9250, Inputs ,44013900,555,555,0,, Yes ,Oct-22
6,24AMXPP4579J1Z3,AARTI INDUSTRIES,666,3/11/2024,10845,10845,10845, Inputs ,44013900,650.7,650.7,0,, Yes ,Oct-22
7,24AMXPP4579J1Z3,AARTI INDUSTRIES,667,3/11/2024,4756,4756,4756, Inputs ,44013900,285.36,285.36,0,, Yes ,Oct-22
8,24AMXPP4579J1Z3,AARTI INDUSTRIES,676,3/16/2024,33449,33449,33449, Inputs ,44013900,2006.94,2006.94,0,, Yes ,Oct-22
9,24AMXPP4579J1Z3,AARTI INDUSTRIES,691,3/22/2024,11250,11250,11250, Inputs ,44013900,675,675,0,, Yes ,Oct-22
10,24AMXPP4579J1Z3,AARTI INDUSTRIES,707,3/26/2024,11617,11617,11617, Inputs ,44013900,697.02,697.02,0,, Yes ,Oct-22
11,24AMXPP4579J1Z3,AARTI INDUSTRIES,708,3/26/2024,1003,1003,1003, Inputs ,44013900,60.18,60.18,0,, Yes ,Oct-22
12,24AMXPP4579J1Z3,AARTI INDUSTRIES,714,3/28/2024,103500,103500,103500, Inputs ,44013900,6210,6210,0,, Yes ,Oct-22
13,24AMXPP4579J1Z3,AARTI INDUSTRIES,715,3/28/2024,32535,32535,32535, Inputs ,44013900,1952.1,1952.1,0,, Yes ,Oct-22
14,24AMXPP4579J1Z3,AARTI INDUSTRIES,717,3/29/2024,8582,8582,8582, Inputs ,44013900,514.92,514.92,0,, Yes ,Oct-22
15,24AAZFA8839Q1Z9,AAVARAN,TM/564,3/28/2024,10466,10466,10466, Inputs ,54071013,627.94,627.94,0,, Yes ,Oct-22
16,24ABXFA5359C1Z9,ABHYUDAY POWER COMPONENTS,2324/087,3/11/2024,2453541,2453541,2453541, Inputs ,85049010,220818.69,220818.69,0,, Yes ,Oct-22
17,24ABXFA5359C1Z9,ABHYUDAY POWER COMPONENTS,2324/089,3/14/2024,4254698,4254698,4254698, Inputs ,85049010,382922.82,382922.82,0,, Yes ,Oct-22
18,24ABXFA5359C1Z9,ABHYUDAY POWER COMPONENTS,2324/093,3/16/2024,2560961,2560961,2560961, Inputs ,85049010,230486.49,230486.49,0,, Yes ,Oct-22
